"target";"v2a1";"hacdor";"rooms";"hacapo";"v14a";"refrig";"v18q1";"r4h1";"r4h2";"r4m1";"r4m2";"escolari";"pared1";"pared2";"pared3";"pared4";"pared5";"pared6";"pared7";"piso1";"piso2";"piso3";"techo1";"techo2";"cielorazo";"water";"electro1";"electro2";"electro3";"sanitario1";"sanitario2";"sanitario3";"energcocinar1";"energcocinar2";"energcocinar3";"elimbasu1";"elimbasu2";"elimbasu3";"epared1";"epared2";"etecho1";"etecho2";"eviv1";"eviv2";"dis";"female";"estadocivil1";"estadocivil2";"estadocivil3";"estadocivil4";"estadocivil5";"estadocivil6";"parentesco1";"parentesco2";"parentesco3";"parentesco4";"parentesco5";"parentesco6";"parentesco7";"parentesco8";"parentesco9";"parentesco10";"parentesco11";"hogar_nin";"hogar_adul";"hogar_mayor";"meaneduc";"instlevel1";"instlevel2";"instlevel3";"instlevel4";"instlevel5";"instlevel6";"instlevel7";"instlevel8";"bedrooms";"overcrowding";"tipovivi1";"tipovivi2";"tipovivi3";"tipovivi4";"computer";"television";"qmobilephone";"lugar1";"lugar2";"lugar3";"lugar4";"lugar5";"rural";"age"
0;0;0;7;0;1;1;2;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;15;1;0;0;0;0;0;0;0;3;1,3333334;1;0;0;0;0;0;2;1;0;0;0;0;0;1
0;0;0;5;0;1;1;0;0;1;0;1;5;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;8,5;0;1;0;0;0;0;0;0;3;0,66666669;1;0;0;0;0;1;2;1;0;0;0;0;0;54
0;110000;0;4;0;1;1;0;1;2;0;1;7;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;11;0;0;0;1;0;0;0;0;3;1,3333334;0;1;0;0;0;0;4;1;0;0;0;0;1;14
0;0;0;7;0;1;1;0;0;2;0;1;9;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;10;0;0;0;1;0;0;0;0;3;1;1;0;0;0;0;1;1;1;0;0;0;0;0;57
0;90000;0;5;0;1;1;1;1;1;0;2;13;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;7,3333335;0;0;0;0;0;0;0;1;2;2;0;0;1;0;0;0;3;0;0;0;0;0;0;20
1;0;0;4;0;1;1;0;0;1;0;1;6;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;4,5;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;1;0;1;57
1;0;0;5;0;1;0;0;0;2;0;0;3;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;1;7;0;1;0;0;0;0;0;0;4;0,5;1;0;0;0;0;0;1;0;1;0;0;0;1;84
1;0;1;4;1;1;1;0;1;2;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;4;1;0;0;0;0;0;0;0;2;5,5;0;0;0;1;0;0;5;1;0;0;0;0;0;45
0;0;0;4;0;1;1;1;2;1;0;1;2;0;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;12;0;1;0;0;0;0;0;0;2;2;1;0;0;0;0;1;2;1;0;0;0;0;0;9
0;0;0;4;0;1;1;0;1;1;0;1;7;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;6,5;0;0;0;0;0;1;0;0;2;1,5;1;0;0;0;0;0;1;0;0;0;1;0;1;30
0;288750;0;5;0;1;1;1;0;1;0;1;13;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;14,5;0;0;0;0;0;0;0;1;3;0,66666669;0;0;1;0;0;0;3;1;0;0;0;0;0;41
0;70000;0;4;0;1;1;0;0;2;0;0;6;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10,5;0;0;1;0;0;0;0;0;2;1;0;0;1;0;0;1;1;1;0;0;0;0;0;20
0;0;0;4;0;1;1;0;0;1;0;1;16;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;10;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;2;0;0;1;0;0;1;65
1;0;0;5;0;1;0;0;1;1;3;1;11;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;5;1;0;11;0;0;0;0;1;0;0;0;2;3;0;0;0;0;0;0;2;1;0;0;0;0;0;32
0;150000;0;4;0;1;1;1;1;2;0;2;9;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4;0;9,25;0;0;0;1;0;0;0;0;2;2,5;0;0;1;0;0;0;7;1;0;0;0;0;0;63
0;0;0;9;0;1;1;2;0;2;0;1;17;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2;17,333334;0;0;0;0;0;0;0;1;5;0,60000002;1;0;0;0;1;1;3;1;0;0;0;0;0;79
0;0;0;5;0;1;1;0;0;1;0;1;14;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;8,5;0;0;0;0;0;0;0;1;3;0,66666669;1;0;0;0;0;0;1;1;0;0;0;0;0;76
0;0;0;8;0;1;1;2;1;2;0;2;10;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;4;1;9,5;0;0;0;1;0;0;0;0;5;1;1;0;0;0;0;1;4;0;0;0;0;0;1;66
0;1e+05;0;5;0;1;1;1;0;0;1;4;16;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;3;0;16;0;0;0;0;0;0;0;1;3;1,6666666;0;0;1;0;0;0;4;0;0;0;0;0;0;32
0;0;0;5;0;1;1;1;1;1;0;2;7;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;10;0;0;0;1;0;0;0;0;3;1,3333334;1;0;0;0;0;0;2;1;0;0;0;0;0;13
0;0;0;5;0;1;1;0;0;2;0;2;6;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;7,5;0;0;1;0;0;0;0;0;3;1,3333334;1;0;0;0;0;1;4;1;0;0;0;0;1;60
1;0;0;5;0;1;1;0;0;0;0;2;8;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;5,5;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;1;1;0;0;0;0;0;52
0;0;0;5;0;1;1;0;0;1;0;2;6;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;6;0;0;1;0;0;0;0;0;3;1;1;0;0;0;0;1;2;1;0;0;0;0;0;48
0;0;0;7;0;1;1;0;0;1;0;1;12;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;14,5;0;0;0;0;0;0;1;0;3;0,66666669;1;0;0;0;0;0;5;1;0;0;0;0;0;62
0;0;0;7;0;1;1;0;0;2;0;1;14;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;14;0;0;0;0;0;0;0;1;3;1;1;0;0;0;0;1;3;1;0;0;0;0;0;54
0;0;0;6;0;1;1;0;0;0;0;4;15;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;2;10,25;0;0;0;0;0;0;0;1;4;1;1;0;0;0;0;0;2;1;0;0;0;0;0;52
0;0;0;4;0;1;1;1;0;3;0;1;6;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;12;0;0;1;0;0;0;0;0;2;2;1;0;0;0;0;1;4;1;0;0;0;0;1;41
0;0;0;5;0;1;1;0;0;2;0;1;12;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;7,6666665;0;0;0;0;0;0;0;1;3;1;1;0;0;0;0;0;3;1;0;0;0;0;1;21
1;175000;0;6;0;1;1;0;0;2;0;1;12;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;12,333333;0;0;0;0;0;0;0;1;3;1;0;0;1;0;0;1;2;1;0;0;0;0;0;26
0;84529;0;3;0;1;1;0;1;0;0;2;9;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;10;0;0;0;1;0;0;0;0;2;1,5;0;0;1;0;0;0;2;1;0;0;0;0;0;24
1;0;0;7;0;1;1;0;0;4;1;2;3;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;5;1;4,5999999;0;1;0;0;0;0;0;0;5;1,4;1;0;0;0;0;0;5;1;0;0;0;0;0;32
1;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;94
0;0;0;5;0;1;1;3;0;1;0;2;17;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;14,5;0;0;0;0;0;0;0;1;3;1;1;0;0;0;1;0;3;1;0;0;0;0;0;50
0;0;0;8;0;1;1;0;0;3;0;4;6;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;9,5714283;0;0;1;0;0;0;0;0;4;1,75;1;0;0;0;0;1;7;1;0;0;0;0;0;57
0;0;0;6;0;1;1;2;1;1;0;4;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;4;0;12,75;1;0;0;0;0;0;0;0;4;1,5;1;0;0;0;0;1;5;1;0;0;0;0;0;5
1;0;0;4;0;1;1;0;0;0;3;1;6;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;6;0;0;1;0;0;0;0;0;2;3;1;0;0;0;0;0;3;1;0;0;0;0;0;29
1;1e+05;0;6;0;1;1;1;0;0;3;2;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;1;0;11;1;0;0;0;0;0;0;0;3;1,6666666;0;0;1;0;0;0;2;0;0;0;1;0;0;6
1;0;0;3;0;1;1;0;0;1;0;0;2;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;2;0,5;1;0;0;0;0;0;1;0;1;0;0;0;1;57
0;0;0;4;0;1;1;0;0;1;0;1;8;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;1;11;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0;1;2;1;0;0;0;0;0;74
0;110000;0;7;0;1;1;0;0;1;0;1;14;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;11,5;0;0;0;0;0;0;0;1;2;1;0;1;0;0;0;0;2;1;0;0;0;0;0;32
1;0;0;6;0;1;1;0;0;2;0;2;5;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;0;0;0;0;0;3;1,3333334;1;0;0;0;0;0;3;0;0;0;1;0;1;17
0;0;0;8;0;1;1;0;0;1;0;3;13;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;14,333333;0;0;0;0;0;0;0;1;5;0,80000001;1;0;0;0;1;1;4;1;0;0;0;0;1;23
0;245000;0;4;0;1;1;2;2;1;0;1;3;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;15;0;1;0;0;0;0;0;0;3;1,3333334;0;0;1;0;0;0;2;1;0;0;0;0;0;9
0;0;0;8;0;1;1;0;0;2;0;4;7;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;5;0;11,2;0;0;0;1;0;0;0;0;5;1,2;1;0;0;0;0;1;6;1;0;0;0;0;0;23
0;1e+05;0;2;0;1;1;1;0;0;0;1;21;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;21;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;30
1;0;0;4;0;1;1;0;2;3;0;1;3;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;2;0;3;0;1;0;0;0;0;0;0;2;3;1;0;0;0;0;0;4;0;0;0;1;0;1;37
1;0;1;2;1;1;1;0;1;1;1;2;6;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;0;7,5;0;0;1;0;0;0;0;0;1;5;1;0;0;0;0;0;3;0;1;0;0;0;0;28
1;160000;0;4;0;1;1;0;0;2;0;3;9;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;2;0;12;0;0;0;0;0;1;0;0;2;2,5;0;0;1;0;0;1;4;1;0;0;0;0;0;16
1;0;1;1;1;1;1;0;2;1;0;1;6;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;8,5;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;2;0;0;1;0;0;0;35
0;0;0;5;0;1;1;0;0;2;0;1;6;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;6;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;3;0;0;0;1;0;0;26
0;0;0;5;0;1;1;0;0;4;0;1;6;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;4;0;5,25;0;0;1;0;0;0;0;0;3;1,6666666;1;0;0;0;0;0;3;1;0;0;0;0;0;30
1;0;0;7;0;1;1;0;1;0;1;1;6;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;6;0;0;1;0;0;0;0;0;5;1,6;0;0;0;1;0;0;2;1;0;0;0;0;0;30
